Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1645842565,1000,,Aggregated,11.800000,0.000000,56,110,450,10000,54000,99000,133000,174000,210000,211000,212000,10076,363,56,13819.51620385064,2.615682999987712,211621.388136,54392.48402143708
1645842575,1000,,Aggregated,30.700000,0.200000,57,110,700,12000,55000,99000,135000,174000,210000,211000,212000,10136,363,57,14064.358883135565,2.615682999987712,211621.388136,54287.13091949487
1645842576,1000,,Aggregated,29.000000,0.200000,59,130,980,13000,57000,105000,137000,174000,211000,219000,219000,10380,380,59,14852.902695656663,2.615682999987712,218814.36988599988,53284.51300578035
1645842586,1000,,Aggregated,37.700000,1.800000,60,140,3600,13000,63000,105000,136000,174000,211000,219000,219000,10509,381,60,15193.856564101467,2.615682999987712,218814.36988599988,52638.06594347702
1645842587,1000,,Aggregated,37.700000,1.800000,61,170,8800,16000,63000,106000,136000,174000,211000,219000,219000,10719,382,61,15470.615117179896,2.615682999987712,218814.36988599988,52146.29909506484
1645842600,1000,,Aggregated,0.700000,0.000000,62,170,11000,18000,67000,106000,136000,174000,211000,219000,219000,10764,382,62,15629.534549372658,2.615682999987712,218814.36988599988,53625.23169825344
1645842602,1000,,Aggregated,0.700000,0.000000,62,190,12000,20000,67000,106000,136000,174000,211000,219000,219000,10839,393,62,15816.067863241837,2.615682999987712,218814.36988599988,55743.167819909584
1645842612,1000,,Aggregated,10.100000,1.100000,62,190,12000,20000,68000,107000,136000,174000,211000,219000,219000,10847,393,62,15855.06760447122,2.615682999987712,218814.36988599988,55702.5596017332
1645842615,1000,,Aggregated,0.800000,0.000000,64,210,12000,22000,70000,109000,149000,186000,249000,249000,249000,10997,427,64,16823.447961884543,2.615682999987712,248548.84287899995,55133.29117031918
1645842629,1000,,Aggregated,0.000000,0.000000,64,220,12000,22000,70000,109000,154000,186000,249000,261000,263000,11027,430,64,17012.285642283612,2.615682999987712,262514.077866,54983.97279405097
1645842647,1000,,Aggregated,0.000000,0.000000,66,260,12000,23000,71000,110000,154000,186000,249000,261000,263000,11165,431,66,17617.759012110906,2.615682999987712,262514.077866,54928.851948051946
1645842648,1000,,Aggregated,0.000000,0.000000,66,270,12000,23000,71000,110000,154000,195000,249000,261000,263000,11179,431,66,17774.400148941873,2.615682999987712,262514.077866,57070.999731639684
1645842657,1000,,Aggregated,26.900000,0.300000,69,410,13000,25000,71000,112000,156000,196000,251000,261000,263000,11425,433,69,19001.93578739976,2.615682999987712,262514.077866,55849.967877461706
1645842658,1000,,Aggregated,26.900000,0.300000,71,800,20000,33000,71000,112000,157000,200000,261000,270000,272000,11561,456,71,19707.2703271674,2.615682999987712,272285.67938899994,55555.616469163564
1645842668,1000,,Aggregated,29.500000,2.800000,73,920,22000,34000,71000,113000,157000,201000,261000,270000,272000,11692,461,73,20149.021713038004,2.615682999987712,272285.67938899994,54938.45133424564
1645842669,1000,,Aggregated,29.500000,2.800000,79,8600,22000,37000,71000,112000,157000,206000,269000,272000,272000,12091,472,79,20597.452393790023,2.615682999987712,272285.67938899994,53147.16127698288
1645842683,1000,,Aggregated,18.600000,0.300000,83,12000,22000,36000,69000,112000,157000,206000,270000,272000,273000,12295,475,83,20556.14744472843,2.615682999987712,272804.55205299996,52274.37600650671
1645842684,1000,,Aggregated,0.000000,0.000000,89,12000,22000,34000,68000,112000,158000,207000,272000,287000,287000,12548,476,89,20727.705336372033,2.615682999987712,286612.990427,51233.45282116672
1645842696,1000,,Aggregated,28.500000,0.300000,94,12000,22000,34000,67000,110000,157000,207000,272000,287000,287000,12779,479,94,20692.366456945554,2.615682999987712,286904.291969,50317.60489866187
1645842697,1000,,Aggregated,0.000000,0.000000,100,13000,23000,33000,63000,110000,158000,208000,287000,299000,299000,13076,481,100.0,21011.706443417497,2.615682999987712,299231.56061199994,49186.31469868461
1645842708,1000,,Aggregated,44.400000,0.300000,110,13000,23000,33000,63000,112000,159000,210000,299000,301000,301000,13211,482,110.0,21208.60529450011,2.615682999987712,300558.194758,48688.44440239195
1645842710,1000,,Aggregated,1.200000,0.000000,120,14000,24000,30000,62000,110000,158000,208000,299000,301000,301000,13504,482,120.0,21287.993235038022,2.615682999987712,300558.194758,47647.24851895735
1645842723,1000,,Aggregated,0.000000,0.000000,130,14000,25000,28000,62000,110000,159000,210000,301000,303000,303000,13711,482,130.0,21474.526533919598,2.615682999987712,302548.2352500001,46936.955947779155
1645842725,1000,,Aggregated,0.000000,0.000000,150,15000,25000,27000,62000,110000,158000,210000,301000,303000,303000,13998,482,150.0,21550.168921567616,2.615682999987712,302548.2352500001,45983.66723817688
1645842734,1000,,Aggregated,47.600000,0.000000,170,15000,25000,27000,62000,109000,158000,210000,301000,303000,303000,14177,482,170.0,21493.510186100062,2.615682999987712,302548.2352500001,45407.962192283274
1645842735,1000,,Aggregated,47.600000,0.000000,230,15000,25000,27000,61000,109000,158000,210000,303000,318000,318000,14628,482,230.0,21597.653672762957,2.615682999987712,318478.211851,44021.8256084222
1645842745,1000,,Aggregated,52.400000,0.000000,250,15000,25000,27000,61000,109000,158000,210000,303000,318000,327000,14703,482,250.0,21580.467668369554,2.615682999987712,327166.931737,43799.67135958648
1645842746,1000,,Aggregated,52.400000,0.000000,340,16000,25000,27000,61000,109000,158000,210000,303000,328000,329000,14974,482,340.0,21652.990953134336,2.615682999987712,329215.206212,43112.05102177107
1645842759,1000,,Aggregated,5.500000,0.000000,460,16000,25000,27000,61000,109000,159000,212000,327000,330000,330000,15131,482,460.0,21818.890126483286,2.615682999987712,330050.721275,42835.13211288084
1645842761,1000,,Aggregated,0.000000,0.000000,800,17000,25000,27000,61000,108000,158000,211000,327000,330000,330000,15266,482,800.0,21851.96764244175,2.615682999987712,330050.721275,42620.95919035766
1645842776,1000,,Aggregated,0.000000,0.000000,890,20000,25000,27000,61000,108000,158000,211000,327000,330000,330000,15356,482,890.0,21907.407951935962,2.615682999987712,330050.721275,42692.98899452983
1645842779,1000,,Aggregated,0.000000,0.000000,970,20000,25000,27000,61000,108000,159000,219000,330000,348000,348000,15554,482,970.0,22314.312008369587,2.615682999987712,347963.87896099995,44153.68291114826
1645842790,1000,,Aggregated,0.400000,0.000000,980,20000,25000,27000,61000,108000,159000,219000,330000,348000,348000,15572,482,980.0,22340.059720200068,2.615682999987712,347963.87896099995,44102.76489853583
1645842793,1000,,Aggregated,0.000000,0.000000,1000,20000,25000,27000,61000,108000,159000,219000,330000,348000,348000,15618,482,1000.0,22409.955508397714,2.615682999987712,347963.87896099995,46254.55135100525
1645842803,1000,,Aggregated,1.600000,0.000000,1000,20000,25000,27000,61000,108000,159000,219000,330000,348000,348000,15627,482,1000.0,22430.31530633183,2.615682999987712,347963.87896099995,46227.96154092276
1645842805,1000,,Aggregated,0.000000,0.000000,8600,21000,26000,34000,61000,108000,163000,247000,360000,389000,389000,15974,496,8600.0,23584.066485208332,2.615682999987712,388932.36471699993,45232.50118943283
1645842816,1000,,Aggregated,40.200000,1.400000,8800,21000,26000,36000,61000,108000,164000,249000,388000,399000,399000,16068,505,8800.0,23880.982473302334,2.615682999987712,398827.01589199994,46576.19044062733
1645842830,1000,,Aggregated,11.300000,0.300000,11000,22000,26000,37000,61000,108000,163000,249000,388000,399000,399000,16198,511,11000.0,24130.33986882157,2.615682999987712,398827.01589199994,46985.563402889245
1645842831,1000,,Aggregated,0.000000,0.000000,11000,23000,27000,40000,61000,108000,165000,249000,388000,399000,400000,16456,525,11000.0,24803.907113119338,2.615682999987712,399623.777935,46444.24945308702
1645842847,1000,,Aggregated,0.000000,0.000000,11000,23000,27000,40000,61000,108000,166000,251000,392000,399000,400000,16567,527,11000.0,25094.9179281838,2.615682999987712,399623.777935,46134.995714371944
1645842848,1000,,Aggregated,0.000000,0.000000,12000,24000,32000,42000,60000,107000,165000,252000,392000,399000,400000,17001,541,12000.0,25629.397578428445,2.615682999987712,399623.777935,44967.32609846479
1645842863,1000,,Aggregated,0.000000,0.000000,12000,24000,32000,41000,60000,106000,165000,252000,392000,399000,400000,17149,541,12000.0,25644.673979583895,2.615682999987712,399623.777935,44580.483118549186
1645842864,1000,,Aggregated,0.000000,0.000000,12000,24000,32000,41000,60000,106000,165000,252000,393000,401000,401000,17388,541,12000.0,25704.830718486497,2.615682999987712,400659.9796589999,43973.811594202896
1645842878,1000,,Aggregated,0.000000,0.000000,12000,24000,32000,41000,59000,106000,165000,252000,393000,401000,401000,17498,544,12000.0,25684.57468632895,2.615682999987712,400659.9796589999,43698.59903989027
1645842879,1000,,Aggregated,0.000000,0.000000,13000,25000,32000,41000,59000,106000,166000,261000,399000,545000,545000,17674,552,13000.0,26060.868270227715,2.615682999987712,544979.657371,43265.66080117687
1645842894,1000,,Aggregated,0.000000,0.000000,13000,25000,32000,41000,59000,106000,165000,261000,399000,545000,545000,17884,571,13000.0,26227.92381531518,2.615682999987712,544979.657371,42763.136322970255
